Year,Geography,GeoCode,Value
2015,,,39.68
2015,Alberta,48,41.14
2015,Atlantic Region,,0.0
2015,British Columbia,59,22.44
2015,Manitoba,46,35.2
2015,New Brunswick,13,3.91
2015,Newfoundland and Labrador,10,1.43
2015,Northern Territories,,0.0
2015,Northwest Territories,61,
2015,Nova Scotia,12,28.61
2015,Nunavut,62,
2015,Ontario,35,47.65
2015,Prairie Region,,40.11
2015,Prince Edward Island,11,0.0
2015,Quebec,24,34.38
2015,Saskatchewan,47,41.99
2015,Yukon,60,0.0
2016,,,38.55
2016,Alberta,48,39.26
2016,Atlantic Region,,0.46
2016,British Columbia,59,22.67
2016,Manitoba,46,32.79
2016,New Brunswick,13,6.7
2016,Newfoundland and Labrador,10,0.0
2016,Northern Territories,,0.0
2016,Northwest Territories,61,
2016,Nova Scotia,12,26.46
2016,Nunavut,62,
2016,Ontario,35,47.05
2016,Prairie Region,,38.01
2016,Prince Edward Island,11,12.54
2016,Quebec,24,32.68
2016,Saskatchewan,47,35.21
2016,Yukon,60,0.0
2017,,,37.72
2017,Alberta,48,36.41
2017,Atlantic Region,,0.43
2017,British Columbia,59,21.54
2017,Manitoba,46,37.03
2017,New Brunswick,13,5.78
2017,Newfoundland and Labrador,10,1.56
2017,Northern Territories,,0.0
2017,Northwest Territories,61,0.0
2017,Nova Scotia,12,28.88
2017,Nunavut,62,0.0
2017,Ontario,35,45.26
2017,Prairie Region,,37.07
2017,Prince Edward Island,11,27.87
2017,Quebec,24,34.2
2017,Saskatchewan,47,40.86
2017,Yukon,60,0.12
2018,,,37.69
2018,Alberta,48,35.51
2018,Atlantic Region,,12.2
2018,British Columbia,59,22.2
2018,Manitoba,46,39.34
2018,New Brunswick,13,0.0
2018,Newfoundland and Labrador,10,0.0
2018,Northern Territories,,0.02
2018,Northwest Territories,61,0.0
2018,Nova Scotia,12,33.52
2018,Nunavut,62,0.0
2018,Ontario,35,45.32
2018,Prairie Region,,38.09
2018,Prince Edward Island,11,16.52
2018,Quebec,24,32.8
2018,Saskatchewan,47,33.11
2018,Yukon,60,0.02
2019,,,38.58
2019,Alberta,48,35.13
2019,Atlantic Region,,3.24
2019,British Columbia,59,25.5
2019,Manitoba,46,37.38
2019,New Brunswick,13,6.9
2019,Newfoundland and Labrador,10,1.65
2019,Northern Territories,,0.03
2019,Northwest Territories,61,0.0
2019,Nova Scotia,12,37.45
2019,Nunavut,62,0.0
2019,Ontario,35,46.15
2019,Prairie Region,,35.35
2019,Prince Edward Island,11,4.2
2019,Quebec,24,34.98
2019,Saskatchewan,47,27.85
2019,Yukon,60,0.0
2020,,,35.99
2020,Alberta,48,32.28
2020,Atlantic Region,,3.45
2020,British Columbia,59,23.56
2020,Manitoba,46,36.77
2020,New Brunswick,13,6.4
2020,Newfoundland and Labrador,10,2.01
2020,Northern Territories,,0.1
2020,Northwest Territories,61,
2020,Nova Scotia,12,4.8
2020,Nunavut,62,
2020,Ontario,35,43.4
2020,Prairie Region,,33.1
2020,Prince Edward Island,11,16.9
2020,Quebec,24,32.03
2020,Saskatchewan,47,36.61
2020,Yukon,60,0.23
2021,,,32.83
2021,Alberta,48,33.61
2021,Atlantic Region,,6.42
2021,British Columbia,59,19.52
2021,Manitoba,46,37.23
2021,New Brunswick,13,0.0
2021,Newfoundland and Labrador,10,0.0
2021,Northern Territories,,0.02
2021,Northwest Territories,61,
2021,Nova Scotia,12,23.7
2021,Nunavut,62,
2021,Ontario,35,38.09
2021,Prairie Region,,34.24
2021,Prince Edward Island,11,29.43
2021,Quebec,24,30.96
2021,Saskatchewan,47,33.6
2021,Yukon,60,0.0
2022,,,33.98
2022,Alberta,48,33.0
2022,Atlantic Region,,8.05
2022,British Columbia,59,22.12
2022,Manitoba,46,39.09
2022,New Brunswick,13,3.43
2022,Newfoundland and Labrador,10,0.0
2022,Northern Territories,,0.01
2022,Northwest Territories,61,
2022,Nova Scotia,12,22.86
2022,Nunavut,62,
2022,Ontario,35,38.72
2022,Prairie Region,,35.68
2022,Prince Edward Island,11,38.64
2022,Quebec,24,31.0
2022,Saskatchewan,47,41.5
2022,Yukon,60,0.0
2023,,,36.81
2023,Alberta,48,35.26
2023,Atlantic Region,,3.64
2023,British Columbia,59,26.47
2023,Manitoba,46,40.7
2023,New Brunswick,13,0.0
2023,Newfoundland and Labrador,10,0.0
2023,Northern Territories,,7.55
2023,Northwest Territories,61,
2023,Nova Scotia,12,21.81
2023,Nunavut,62,inf
2023,Ontario,35,40.44
2023,Prairie Region,,36.93
2023,Prince Edward Island,11,37.74
2023,Quebec,24,35.68
2023,Saskatchewan,47,38.88
2023,Yukon,60,0.0
2024,,,36.69
2024,Alberta,48,35.47
2024,Atlantic Region,,7.41
2024,British Columbia,59,20.99
2024,Manitoba,46,42.34
2024,New Brunswick,13,0.17
2024,Newfoundland and Labrador,10,9.84
2024,Northern Territories,,8.13
2024,Northwest Territories,61,
2024,Nova Scotia,12,0.0
2024,Nunavut,62,
2024,Ontario,35,40.56
2024,Prairie Region,,37.4
2024,Prince Edward Island,11,19.08
2024,Quebec,24,35.39
2024,Saskatchewan,47,35.25
2024,Yukon,60,0.0
