Year,Sources of waste for disposal,Geography,GeoCode,Value
2002,,,,24081371.0
2004,,,,25226766.0
2006,,,,26417011.0
2008,,,,25926476.0
2010,,,,24952415.0
2012,,,,24681474.0
2014,,,,24766650.0
2016,,,,24940747.0
2018,,,,25733021.0
2020,,,,26107720.0
2022,,,,26617188.0
2002,Residential sources of waste for disposal,Canada,,8446766.0
2002,Non-residential sources of waste for disposal,Canada,,15634606.0
2002,All sources of waste for disposal,Newfoundland and Labrador,10,376594.0
2002,Residential sources of waste for disposal,Newfoundland and Labrador,,216218.0
2002,Non-residential sources of waste for disposal,Newfoundland and Labrador,,160376.0
2002,All sources of waste for disposal,Prince Edward Island,11,
2002,Residential sources of waste for disposal,Prince Edward Island,,
2002,Non-residential sources of waste for disposal,Prince Edward Island,,
2002,All sources of waste for disposal,Nova Scotia,12,389194.0
2002,Residential sources of waste for disposal,Nova Scotia,,169649.0
2002,Non-residential sources of waste for disposal,Nova Scotia,,219546.0
2002,All sources of waste for disposal,New Brunswick,13,413606.0
2002,Residential sources of waste for disposal,New Brunswick,,203506.0
2002,Non-residential sources of waste for disposal,New Brunswick,,210100.0
2002,All sources of waste for disposal,Quebec,24,5846459.0
2002,Residential sources of waste for disposal,Quebec,,1875235.0
2002,Non-residential sources of waste for disposal,Quebec,,3971225.0
2002,All sources of waste for disposal,Ontario,35,9645633.0
2002,Residential sources of waste for disposal,Ontario,,3438408.0
2002,Non-residential sources of waste for disposal,Ontario,,6207225.0
2002,All sources of waste for disposal,Manitoba,46,896556.0
2002,Residential sources of waste for disposal,Manitoba,,412612.0
2002,Non-residential sources of waste for disposal,Manitoba,,483944.0
2002,All sources of waste for disposal,Saskatchewan,47,795124.0
2002,Residential sources of waste for disposal,Saskatchewan,,278692.0
2002,Non-residential sources of waste for disposal,Saskatchewan,,516432.0
2002,All sources of waste for disposal,Alberta,48,2890294.0
2002,Residential sources of waste for disposal,Alberta,,866398.0
2002,Non-residential sources of waste for disposal,Alberta,,2023896.0
2002,All sources of waste for disposal,British Columbia,59,2687882.0
2002,Residential sources of waste for disposal,British Columbia,,929101.0
2002,Non-residential sources of waste for disposal,British Columbia,,1758781.0
2002,All sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2002,Residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2002,Non-residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2004,Residential sources of waste for disposal,Canada,,8961583.0
2004,Non-residential sources of waste for disposal,Canada,,16265183.0
2004,All sources of waste for disposal,Newfoundland and Labrador,10,400048.0
2004,Residential sources of waste for disposal,Newfoundland and Labrador,,228004.0
2004,Non-residential sources of waste for disposal,Newfoundland and Labrador,,172044.0
2004,All sources of waste for disposal,Prince Edward Island,11,
2004,Residential sources of waste for disposal,Prince Edward Island,,
2004,Non-residential sources of waste for disposal,Prince Edward Island,,
2004,All sources of waste for disposal,Nova Scotia,12,399967.0
2004,Residential sources of waste for disposal,Nova Scotia,,179262.0
2004,Non-residential sources of waste for disposal,Nova Scotia,,220705.0
2004,All sources of waste for disposal,New Brunswick,13,442173.0
2004,Residential sources of waste for disposal,New Brunswick,,208120.0
2004,Non-residential sources of waste for disposal,New Brunswick,,234053.0
2004,All sources of waste for disposal,Quebec,24,6454000.0
2004,Residential sources of waste for disposal,Quebec,,2209000.0
2004,Non-residential sources of waste for disposal,Quebec,,4245000.0
2004,All sources of waste for disposal,Ontario,35,9809264.0
2004,Residential sources of waste for disposal,Ontario,,3489917.0
2004,Non-residential sources of waste for disposal,Ontario,,6319347.0
2004,All sources of waste for disposal,Manitoba,46,928117.0
2004,Residential sources of waste for disposal,Manitoba,,450658.0
2004,Non-residential sources of waste for disposal,Manitoba,,477459.0
2004,All sources of waste for disposal,Saskatchewan,47,794933.0
2004,Residential sources of waste for disposal,Saskatchewan,,279420.0
2004,Non-residential sources of waste for disposal,Saskatchewan,,515513.0
2004,All sources of waste for disposal,Alberta,48,3077311.0
2004,Residential sources of waste for disposal,Alberta,,943420.0
2004,Non-residential sources of waste for disposal,Alberta,,2133890.0
2004,All sources of waste for disposal,British Columbia,59,2767657.0
2004,Residential sources of waste for disposal,British Columbia,,919323.0
2004,Non-residential sources of waste for disposal,British Columbia,,1848335.0
2004,All sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2004,Residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2004,Non-residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2006,Residential sources of waste for disposal,Canada,,9748217.0
2006,Non-residential sources of waste for disposal,Canada,,16668793.0
2006,All sources of waste for disposal,Newfoundland and Labrador,10,428809.0
2006,Residential sources of waste for disposal,Newfoundland and Labrador,,227618.0
2006,Non-residential sources of waste for disposal,Newfoundland and Labrador,,201192.0
2006,All sources of waste for disposal,Prince Edward Island,11,
2006,Residential sources of waste for disposal,Prince Edward Island,,
2006,Non-residential sources of waste for disposal,Prince Edward Island,,
2006,All sources of waste for disposal,Nova Scotia,12,359105.0
2006,Residential sources of waste for disposal,Nova Scotia,,169337.0
2006,Non-residential sources of waste for disposal,Nova Scotia,,189768.0
2006,All sources of waste for disposal,New Brunswick,13,511706.0
2006,Residential sources of waste for disposal,New Brunswick,,263580.0
2006,Non-residential sources of waste for disposal,New Brunswick,,248125.0
2006,All sources of waste for disposal,Quebec,24,6808440.0
2006,Residential sources of waste for disposal,Quebec,,2980427.0
2006,Non-residential sources of waste for disposal,Quebec,,3828013.0
2006,All sources of waste for disposal,Ontario,35,9710459.0
2006,Residential sources of waste for disposal,Ontario,,3411642.0
2006,Non-residential sources of waste for disposal,Ontario,,6298818.0
2006,All sources of waste for disposal,Manitoba,46,904272.0
2006,Residential sources of waste for disposal,Manitoba,,425304.0
2006,Non-residential sources of waste for disposal,Manitoba,,478968.0
2006,All sources of waste for disposal,Saskatchewan,47,833753.0
2006,Residential sources of waste for disposal,Saskatchewan,,296062.0
2006,Non-residential sources of waste for disposal,Saskatchewan,,537691.0
2006,All sources of waste for disposal,Alberta,48,3819872.0
2006,Residential sources of waste for disposal,Alberta,,973683.0
2006,Non-residential sources of waste for disposal,Alberta,,2846189.0
2006,All sources of waste for disposal,British Columbia,59,2917080.0
2006,Residential sources of waste for disposal,British Columbia,,956968.0
2006,Non-residential sources of waste for disposal,British Columbia,,1960113.0
2006,All sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2006,Residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2006,Non-residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2008,Residential sources of waste for disposal,Canada,,9360400.0
2008,Non-residential sources of waste for disposal,Canada,,16566076.0
2008,All sources of waste for disposal,Newfoundland and Labrador,10,399184.0
2008,Residential sources of waste for disposal,Newfoundland and Labrador,,210964.0
2008,Non-residential sources of waste for disposal,Newfoundland and Labrador,,188220.0
2008,All sources of waste for disposal,Prince Edward Island,11,
2008,Residential sources of waste for disposal,Prince Edward Island,,
2008,Non-residential sources of waste for disposal,Prince Edward Island,,
2008,All sources of waste for disposal,Nova Scotia,12,354231.0
2008,Residential sources of waste for disposal,Nova Scotia,,148060.0
2008,Non-residential sources of waste for disposal,Nova Scotia,,206171.0
2008,All sources of waste for disposal,New Brunswick,13,479461.0
2008,Residential sources of waste for disposal,New Brunswick,,233703.0
2008,Non-residential sources of waste for disposal,New Brunswick,,245758.0
2008,All sources of waste for disposal,Quebec,24,6146319.0
2008,Residential sources of waste for disposal,Quebec,,2848822.0
2008,Non-residential sources of waste for disposal,Quebec,,3297497.0
2008,All sources of waste for disposal,Ontario,35,9631559.0
2008,Residential sources of waste for disposal,Ontario,,3231399.0
2008,Non-residential sources of waste for disposal,Ontario,,6400160.0
2008,All sources of waste for disposal,Manitoba,46,945441.0
2008,Residential sources of waste for disposal,Manitoba,,400297.0
2008,Non-residential sources of waste for disposal,Manitoba,,545144.0
2008,All sources of waste for disposal,Saskatchewan,47,902943.0
2008,Residential sources of waste for disposal,Saskatchewan,,289760.0
2008,Non-residential sources of waste for disposal,Saskatchewan,,613182.0
2008,All sources of waste for disposal,Alberta,48,4147558.0
2008,Residential sources of waste for disposal,Alberta,,993976.0
2008,Non-residential sources of waste for disposal,Alberta,,3153581.0
2008,All sources of waste for disposal,British Columbia,59,2811568.0
2008,Residential sources of waste for disposal,British Columbia,,960472.0
2008,Non-residential sources of waste for disposal,British Columbia,,1851097.0
2008,All sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2008,Residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2008,Non-residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2010,Residential sources of waste for disposal,Canada,,9448165.0
2010,Non-residential sources of waste for disposal,Canada,,15504250.0
2010,All sources of waste for disposal,Newfoundland and Labrador,10,394235.0
2010,Residential sources of waste for disposal,Newfoundland and Labrador,,
2010,Non-residential sources of waste for disposal,Newfoundland and Labrador,,
2010,All sources of waste for disposal,Prince Edward Island,11,
2010,Residential sources of waste for disposal,Prince Edward Island,,
2010,Non-residential sources of waste for disposal,Prince Edward Island,,
2010,All sources of waste for disposal,Nova Scotia,12,367246.0
2010,Residential sources of waste for disposal,Nova Scotia,,145589.0
2010,Non-residential sources of waste for disposal,Nova Scotia,,221657.0
2010,All sources of waste for disposal,New Brunswick,13,475265.0
2010,Residential sources of waste for disposal,New Brunswick,,219486.0
2010,Non-residential sources of waste for disposal,New Brunswick,,255779.0
2010,All sources of waste for disposal,Quebec,24,5795707.0
2010,Residential sources of waste for disposal,Quebec,,2853189.0
2010,Non-residential sources of waste for disposal,Quebec,,2942518.0
2010,All sources of waste for disposal,Ontario,35,9247415.0
2010,Residential sources of waste for disposal,Ontario,,3204264.0
2010,Non-residential sources of waste for disposal,Ontario,,6043151.0
2010,All sources of waste for disposal,Manitoba,46,1020481.0
2010,Residential sources of waste for disposal,Manitoba,,453754.0
2010,Non-residential sources of waste for disposal,Manitoba,,566727.0
2010,All sources of waste for disposal,Saskatchewan,47,937268.0
2010,Residential sources of waste for disposal,Saskatchewan,,283726.0
2010,Non-residential sources of waste for disposal,Saskatchewan,,653541.0
2010,All sources of waste for disposal,Alberta,48,3917492.0
2010,Residential sources of waste for disposal,Alberta,,1093155.0
2010,Non-residential sources of waste for disposal,Alberta,,2824337.0
2010,All sources of waste for disposal,British Columbia,59,2658271.0
2010,Residential sources of waste for disposal,British Columbia,,953761.0
2010,Non-residential sources of waste for disposal,British Columbia,,1704510.0
2010,All sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2010,Residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2010,Non-residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,
2012,Residential sources of waste for disposal,Canada,,9684615.0
2012,Non-residential sources of waste for disposal,Canada,,14996859.0
2012,All sources of waste for disposal,Newfoundland and Labrador,10,391571.0
2012,Residential sources of waste for disposal,Newfoundland and Labrador,,
2012,Non-residential sources of waste for disposal,Newfoundland and Labrador,,
2012,All sources of waste for disposal,Prince Edward Island,11,
2012,Residential sources of waste for disposal,Prince Edward Island,,
2012,Non-residential sources of waste for disposal,Prince Edward Island,,
2012,All sources of waste for disposal,Nova Scotia,12,365079.0
2012,Residential sources of waste for disposal,Nova Scotia,,145601.0
2012,Non-residential sources of waste for disposal,Nova Scotia,,219478.0
2012,All sources of waste for disposal,New Brunswick,13,492938.0
2012,Residential sources of waste for disposal,New Brunswick,,215755.0
2012,Non-residential sources of waste for disposal,New Brunswick,,277183.0
2012,All sources of waste for disposal,Quebec,24,5584621.0
2012,Residential sources of waste for disposal,Quebec,,2803335.0
2012,Non-residential sources of waste for disposal,Quebec,,2781286.0
2012,All sources of waste for disposal,Ontario,35,9208839.0
2012,Residential sources of waste for disposal,Ontario,,3388501.0
2012,Non-residential sources of waste for disposal,Ontario,,5820338.0
2012,All sources of waste for disposal,Manitoba,46,1017663.0
2012,Residential sources of waste for disposal,Manitoba,,444227.0
2012,Non-residential sources of waste for disposal,Manitoba,,573436.0
2012,All sources of waste for disposal,Saskatchewan,47,957670.0
