Year,Value,Units,Series
2016,297.12,CAD (Millions),Total value of the supported investment projects
2017,439.44,CAD (Millions),Total value of the supported investment projects
2018,636.11,CAD (Millions),Total value of the supported investment projects
2019,581.1,CAD (Millions),Total value of the supported investment projects
2020,776.9,CAD (Millions),Total value of the supported investment projects
2021,1097.43,CAD (Millions),Total value of the supported investment projects
2016,173.0,Number,Number of projects
2017,342.0,Number,Number of projects
2018,254.0,Number,Number of projects
2019,239.0,Number,Number of projects
2020,244.0,Number,Number of projects
2021,248.0,Number,Number of projects
